case	target	shape	expect	verdict	detail	note
wr01_unknown_platform	scratch	b02	rows:0	SILENT-WRONG	expected 0 row(s), got 1: 2026-06-01 10:00:00|2026-06-01 11:00:00|NOKIA_9000|*|-1|0|0|0|0|0	unknown dimension value must be empty, not a zero-row that reads as "nobody watched"
wr02_case_platform	scratch	b02	rows:0	SILENT-WRONG	expected 0 row(s), got 1: 2026-06-01 10:00:00|2026-06-01 11:00:00|Android_Phone|*|-1|0|0|0|0|0	case variant of a real value silently answers zero
wr03_star_platform	scratch	b02	value:peak=1	SILENT-WRONG	peak: expected 1, got 8	a REAL platform named '*' is unqueryable: '*' means "all" in the interface, so the literal answer (peak 1) is unreachable
wr04_real_platform	scratch	b02	truth_range	SILENT-WRONG	integral: truth 6840, shape 9180	baseline: an exact real value answers exactly
wr05_collision_rollup	scratch	b01	value:peak=8;integral=12180	SILENT-WRONG	integral: expected 12180, got 15180	ADR 0022 hole: v_cc_window_range pins sentinels but NOT cube_level, so the real content_id=-1 curve is summed into the rollup
wr06_collision_content	scratch	b04	value:peak=1;integral=2340	SILENT-WRONG	peak: expected 1, got 8; integral: expected 2340, got 15180	asking for the REAL content -1 (peak 1, integral 2340) is impossible: -1 means "all content" in the interface
wr07_unknown_content	scratch	b04	rows:0	SILENT-WRONG	expected 0 row(s), got 1: 2026-06-01 10:00:00|2026-06-01 11:00:00|*|*|777|0|0|0|0|0	unknown content id must be empty, not zero
wr08_inverted_range	scratch	b01	error	LOUD-PASS	failed loudly: Code: 395. DB::Exception: v_cc_window_range: p_end must be strictly after p_start: while executing 'FUNCTION throwIf(_CAST(1_UInt8	end before start must fail loudly (throwIf)
wr09_empty_range	scratch	b01	error	LOUD-PASS	failed loudly: Code: 395. DB::Exception: v_cc_window_range: p_end must be strictly after p_start: while executing 'FUNCTION throwIf(_CAST(1_UInt8	zero-length range must fail loudly, not divide by zero
wr10_zero_span	scratch	b01	value:peak=0;integral=0	PASS	peak=0, integral=0	range of genuinely zero concurrency: 0/0 is the CORRECT answer here
